codeNum,moisture,protein,ash,viscosity
1,13.5,6.50,0.306,37
2,13.3,7.45,0.300,51
3,12.7,9.45,0.405,66
4,11.7,12.05,0.940,15
5,12.7,6.25,0.277,30
6,12.7,7.20,0.287,52
7,12.4,7.20,0.290,43
8,12.3,8.30,0.300,65
9,13.1,8.35,0.298,73
10,13.2,9.00,0.310,93
11,12.3,9.00,0.305,89
12,12.2,10.60,0.356,119
13,12.4,8.15,0.440,38
14,11.7,9.35,0.460,64
15,11.4,10.55,0.538,107
16,11.1,10.90,0.740,23
17,11,11.50,0.840,30
18,10.1,10.80,1.120,15
19,10.6,11.40,1.080,19
20,13.7,7.30,0.270,45
21,13.4,8.90,0.362,73
22,13.1,7.30,0.302,40
23,13.1,8.05,0.324,57
24,12.9,9.30,0.514,52
25,13.2,8.85,0.328,66
26,12.9,9.00,0.304,70
27,12.8,9.25,0.336,84
28,12.6,9.75,0.332,96
29,12.4,9.85,0.362,97
30,12.8,10.85,0.460,116
31,12,9.20,0.616,12
32,12.6,13.10,1.208,29
33,12.6,10.40,0.498,93
34,12.1,12.20,0.670,77
35,12.3,12.50,1.416,32
36,11.7,13.90,1.410,40
37,11.8,12.15,1.264,30
38,12.2,13.50,1.300,38
39,12.8,9.75,0.602,15
